x,y,signal,noise,bin
0,0,3.3897338011063746e-17,6.15739892610767e-18,595
0,1,3.5102394770832585e-17,5.655715728764678e-18,595
0,2,3.7448828969264676e-17,5.425994825446986e-18,595
0,3,3.8914665061423975e-17,5.2370267580507904e-18,139
0,4,4.1063891739463784e-17,5.08359450089146e-18,137
0,5,4.317841666084913e-17,4.9763970850643365e-18,137
0,6,4.5581726911088583e-17,4.980836037761207e-18,128
0,7,4.815846566296876e-17,4.9625776723682505e-18,127
0,8,4.991692059574575e-17,4.821794942354299e-18,127
0,9,5.139951263091854e-17,4.7320970898236735e-18,108
0,10,5.244111135971869e-17,4.6618203293585156e-18,105
0,11,5.351280454663082e-17,4.636628358930733e-18,120
0,12,5.46621471532455e-17,4.602689459795046e-18,120
0,13,5.493456134330455e-17,4.567493612019654e-18,133
0,14,5.456910881255172e-17,4.5568930720190806e-18,133
0,15,5.38215186452645e-17,4.5399475910272145e-18,368
0,16,5.3276919846580174e-17,4.5330807521718935e-18,368
0,17,5.299017246054868e-17,4.552525362833997e-18,372
0,18,5.193325878733832e-17,4.575098513736863e-18,443
0,19,4.970266494897853e-17,4.577205884423618e-18,480
0,20,4.73323736058106e-17,4.589631822871697e-18,522
0,21,4.483396656330922e-17,4.6041096468719276e-18,522
0,22,4.2387618521765734e-17,4.640238227162484e-18,530
0,23,4.1129157555303383e-17,4.6999349602883166e-18,558
0,24,3.9208164700021895e-17,4.736211839997146e-18,558
0,25,3.685256963566194e-17,4.802244828803592e-18,567
0,26,3.4681703519774235e-17,4.897280496033269e-18,567
0,27,3.284820201584455e-17,5.008929754909995e-18,584
0,28,3.0843805758884374e-17,5.1209593934206906e-18,584
0,29,2.8990741152100605e-17,5.261835691365616e-18,585
0,30,2.73302239415139e-17,5.462255783765307e-18,585
0,31,2.5584129132137193e-17,5.731824973470037e-18,585
0,32,2.4044875323917343e-17,6.163886598290733e-18,594
1,0,3.6653863170333256e-17,6.005612400278475e-18,595
1,1,3.8029702715003137e-17,5.567864537371299e-18,595
1,2,4.010542994940925e-17,5.325593786658465e-18,157
1,3,4.243222860080675e-17,5.151313552384973e-18,139
1,4,4.5107170012195875e-17,5.007965784649766e-18,139
1,5,4.749371385710643e-17,4.954266953079676e-18,137
1,6,4.994149368193197e-17,4.828462787031964e-18,128
1,7,5.2871686226817247e-17,4.746894013860497e-18,104
1,8,5.497828950531242e-17,4.788358685249425e-18,98
1,9,5.678286325520587e-17,4.698431596206768e-18,108
1,10,5.935293663693364e-17,4.663198792379614e-18,105
1,11,6.039136730457363e-17,4.633672216376163e-18,107
1,12,6.17756770212561e-17,4.60650874053334e-18,109
1,13,6.189103051736134e-17,4.599832977831183e-18,116
1,14,6.205571264046521e-17,4.5836186020740385e-18,121
1,15,6.105933396679482e-17,4.546105658240615e-18,275
1,16,6.055745454486573e-17,4.5728921331688634e-18,336
1,17,5.959824698640806e-17,4.600311103282898e-18,372
1,18,5.807016307862608e-17,4.546544349329641e-18,443
1,19,5.555425853869804e-17,4.5318565387887084e-18,480
1,20,5.2216751363832666e-17,4.508029109780791e-18,477
1,21,4.952254436802308e-17,4.48293444911955e-18,497
1,22,4.662369522771533e-17,4.50871750992659e-18,530
1,23,4.424969004399031e-17,4.556783751349139e-18,528
1,24,4.249713605386876e-17,4.618988135717471e-18,558
1,25,3.95917282465635e-17,4.644177720002783e-18,567
1,26,3.71925313725553e-17,4.7290869669960326e-18,567
1,27,3.528384058182644e-17,4.935223355024537e-18,584
1,28,3.314090750425513e-17,4.982088675039901e-18,584
1,29,3.156561893924115e-17,5.1068704941860804e-18,585
1,30,2.9338593233689595e-17,5.324546389813835e-18,585
1,31,2.784657522131717e-17,5.544572904988183e-18,594
1,32,2.656971756249689e-17,5.945815051776502e-18,594
2,0,3.918857703636151e-17,5.818483577570337e-18,180
2,1,4.129247926159199e-17,5.538373798153289e-18,157
2,2,4.3256363801404205e-17,5.3861923983789764e-18,157
2,3,4.5463596082265575e-17,5.286939807895621e-18,139
2,4,4.8618722723652745e-17,5.2371833338441016e-18,139
2,5,5.172769801343638e-17,5.053722643943478e-18,122
2,6,5.4735815498049266e-17,4.8588836449378624e-18,103
2,7,5.803534751819376e-17,4.836394980155603e-18,104
2,8,6.070300834542968e-17,4.777837476546808e-18,98
2,9,6.363170524143352e-17,4.767238537967505e-18,95
2,10,6.666326579602185e-17,4.8166838600321246e-18,88
2,11,6.883657312664377e-17,4.85949843026788e-18,89
2,12,7.039238901536598e-17,4.8837224616873595e-18,97
2,13,7.115425118230987e-17,4.8765557312028016e-18,102
2,14,7.096087940807759e-17,4.843658425159752e-18,110
2,15,7.011913244258784e-17,4.7829203112198e-18,119
2,16,6.851340720253858e-17,4.766080306367136e-18,274
2,17,6.693226234466541e-17,4.7278572852979e-18,332
2,18,6.451512192895787e-17,4.655300703236883e-18,369
2,19,6.120381735330647e-17,4.581034394422272e-18,436
2,20,5.755588636595979e-17,4.514894451636475e-18,477
2,21,5.417715386740083e-17,4.4917382427594024e-18,497
2,22,5.1202728838693043e-17,4.518735241530292e-18,498
2,23,4.8805359583039577e-17,4.57149263421381e-18,528
2,24,4.575328742365824e-17,4.6472836267504065e-18,531
2,25,4.2676707282827134e-17,4.659415357661838e-18,549
2,26,4.0253957980152266e-17,4.673259894596132e-18,549
2,27,3.817201537347957e-17,4.7884761415110605e-18,559
2,28,3.607565334826281e-17,4.912097215302567e-18,559
2,29,3.376866210551827e-17,5.0359088320954034e-18,585
2,30,3.170569716834933e-17,5.1934463675194954e-18,585
2,31,3.010641828325376e-17,5.462527523860064e-18,594
2,32,2.8493263900773487e-17,5.708211020534411e-18,594
3,0,4.167788021340849e-17,5.456925299946112e-18,180
3,1,4.4248323814151917e-17,5.250648762434462e-18,158
3,2,4.7006853398842517e-17,5.116748225097529e-18,158
3,3,4.9406414114766475e-17,5.00724097298161e-18,140
3,4,5.271557895444415e-17,4.892482597207455e-18,129
3,5,5.653505674103955e-17,4.836017839976213e-18,122
3,6,6.025748082950005e-17,4.8078503366821206e-18,103
3,7,6.404080546006116e-17,4.745797222030582e-18,92
3,8,6.780287293388857e-17,4.733521040430239e-18,84
3,9,7.192117210401616e-17,4.760209680187964e-18,78
3,10,7.553577993154034e-17,4.827993594904762e-18,74
3,11,7.811934774544242e-17,4.8490996142518e-18,69
3,12,8.026220651501355e-17,4.8156288433620974e-18,75
3,13,8.126187176804604e-17,4.81585689602154e-18,79
3,14,8.115168829691974e-17,4.822269470790924e-18,100
3,15,7.994604736709816e-17,4.813617065729609e-18,113
3,16,7.798798411503262e-17,4.810304195335664e-18,123
3,17,7.498549930115513e-17,4.784109774799246e-18,278
3,18,7.118866091522753e-17,4.720052896110299e-18,335
3,19,6.768366523804324e-17,4.652332606569743e-18,371
3,20,6.357008605684545e-17,4.567224260699279e-18,437
3,21,5.951781843559838e-17,4.515594610456863e-18,476
3,22,5.558442216664742e-17,4.496930936421591e-18,498
3,23,5.216451072941213e-17,4.505354752309152e-18,503
3,24,4.9141685573372746e-17,4.517690824600979e-18,531
3,25,4.618461426432627e-17,4.588761403531555e-18,549
3,26,4.3418038350614454e-17,4.7362714960368106e-18,549
3,27,4.045965912510021e-17,4.848145251417705e-18,559
3,28,3.758980658327526e-17,4.968804414459275e-18,565
3,29,3.550226843561131e-17,4.9999598533829006e-18,583
3,30,3.347859645078905e-17,5.034174186895205e-18,583
3,31,3.1685629693072736e-17,5.2107418367460036e-18,594
3,32,3.0152948816099327e-17,5.463743751957425e-18,594
4,0,4.502964768544792e-17,5.362860729333729e-18,180
4,1,4.747317820373153e-17,5.125408385268869e-18,158
4,2,5.077791442294392e-17,4.978096756064983e-18,158
4,3,5.471898403536797e-17,4.89419354072347e-18,140
4,4,5.866070285037311e-17,4.8450833349242505e-18,129
4,5,6.258512263686325e-17,4.847727167652842e-18,106
4,6,6.650217253726647e-17,4.8689499713275075e-18,93
4,7,7.142421413364174e-17,4.7978526121884304e-18,82
4,8,7.627452546762033e-17,4.809708570475455e-18,70
4,9,8.106742819146767e-17,4.85654134361135e-18,66
4,10,8.597154621696953e-17,4.9383772152341386e-18,61
4,11,8.91753809606078e-17,5.0324907430674e-18,60
4,12,9.119426305648263e-17,5.0633819738911075e-18,62
4,13,9.239512799589926e-17,5.023738462354015e-18,67
4,14,9.200519934169504e-17,5.0180197279041376e-18,76
4,15,9.01008056767444e-17,4.997948598047712e-18,101
4,16,8.735570204574018e-17,4.984785672880181e-18,117
4,17,8.304749841436409e-17,4.950214658057642e-18,259
4,18,7.820267412355067e-17,4.890261258894633e-18,299
4,19,7.343594876634228e-17,4.772458944409004e-18,338
4,20,6.854964437191521e-17,4.70259576257495e-18,380
4,21,6.453653480708376e-17,4.663796757732565e-18,442
4,22,6.039950700355813e-17,4.613373483322733e-18,478
4,23,5.669214825298191e-17,4.5466726545294036e-18,503
4,24,5.259970717680028e-17,4.493647096251379e-18,508
4,25,4.8932268166655017e-17,4.466278239738215e-18,526
4,26,4.545904241368813e-17,4.484222074336296e-18,537
4,27,4.252513879626899e-17,4.5510988116073125e-18,565
4,28,4.0426919834912426e-17,4.687135193926946e-18,565
4,29,3.8232944473480706e-17,4.836425408030062e-18,583
4,30,3.539451957396251e-17,4.969119142774458e-18,583
4,31,3.315137052490689e-17,5.17228882416139e-18,588
4,32,3.130366685581247e-17,5.4598402355152904e-18,588
5,0,4.814037434002254e-17,5.439280136439234e-18,188
5,1,5.0767521498394315e-17,5.182975613467555e-18,164
5,2,5.4616711904531675e-17,5.154221980935714e-18,152
5,3,5.911959264658656e-17,5.069962796694548e-18,136
5,4,6.386284831118293e-17,4.987589084325069e-18,126
5,5,6.869294800945337e-17,4.874629275398388e-18,99
5,6,7.349868767045974e-17,4.8206424507310994e-18,85
5,7,7.882789942019256e-17,4.892063940201877e-18,71
5,8,8.509882080890906e-17,4.980211602500011e-18,63
5,9,9.221657395917385e-17,5.058198104805401e-18,52
5,10,9.903773288224418e-17,5.162846924872377e-18,47
5,11,1.0405245169954379e-16,5.232199938345317e-18,45
5,12,1.0776656859898846e-16,5.291129535783973e-18,50
5,13,1.0948601933370253e-16,5.339304153606089e-18,55
5,14,1.081899617703439e-16,5.3461330878624044e-18,64
5,15,1.0503879253443046e-16,5.292761943246355e-18,77
5,16,1.0124743725901183e-16,5.2328611398595865e-18,114
5,17,9.494588770392716e-17,5.093462709934268e-18,235
5,18,8.797003376792151e-17,4.955314324072554e-18,276
5,19,8.14438230595367e-17,4.8359744211367615e-18,327
5,20,7.528693923821133e-17,4.744216294523901e-18,366
5,21,7.038159929448733e-17,4.680919014040473e-18,402
5,22,6.549588403287091e-17,4.598365078570018e-18,451
5,23,6.057825784710027e-17,4.53413008808927e-18,483
5,24,5.605606217277736e-17,4.4670289974297016e-18,508
5,25,5.2252075558562024e-17,4.444842652330145e-18,526
5,26,4.814885645985319e-17,4.46183286112966e-18,537
5,27,4.584818571795223e-17,4.578473271473171e-18,552
5,28,4.3051868765501284e-17,4.653613910086179e-18,564
5,29,4.0009059448284536e-17,4.776364981661261e-18,564
5,30,3.777222506407531e-17,4.9541603190432426e-18,575
5,31,3.5430520083562257e-17,5.026932749984255e-18,588
5,32,3.3461434817368864e-17,5.1816820875048545e-18,588
6,0,5.212351100036504e-17,5.820080534060605e-18,188
6,1,5.446657109782438e-17,5.415219452444907e-18,164
6,2,5.89508518458057e-17,5.1655168554576675e-18,152
6,3,6.38428053385812e-17,5.022295522116957e-18,136
6,4,6.988510619906288e-17,4.979589779803603e-18,124
